Name,Employee ID,Service Center,Date,Bills per Hour,Handled Shipments,Damaged,First Punch to Scan,First Scan to Punch,Second Punch to Scan,Second Scan to Punch,Dock Time
Douglas Nichols,77270999,SHV,2023-08-01,6.3,53,3,28,49,57,27,8.41
David Ford,9977034,FTW,2023-08-01,6.2,59,0,10,18,10,6,9.52
Sean Obrien,15537511,HOU,2023-08-01,4.4,20,0,4,12,15,10,4.55
Natalie Hopkins,40497336,SHV,2023-08-01,3.3,18,1,13,10,13,10,5.45
Stacy Turner,73458833,DAL,2023-08-01,8.9,106,0,7,3,9,7,11.91
James Harris,90946995,FTW,2023-08-01,7.5,40,0,18,6,5,19,5.33
Sarah Cook,26413709,SHV,2023-08-01,4.8,50,1,16,16,9,12,10.42
Amy Escobar,24798974,SHV,2023-08-01,4.3,30,0,14,5,7,17,6.98
Latoya Salazar,67499931,OKC,2023-08-01,5.9,61,0,7,16,4,7,10.34
Brenda Anderson,19927556,SHV,2023-08-01,9.7,115,1,12,7,4,2,11.86
Rachel Williams,82865659,FTW,2023-08-01,2.3,23,1,9,19,15,6,10.0
Dana Stewart,60786305,STX,2023-08-01,10.9,59,0,11,7,5,58,5.41
Sandra Harris,96132022,DAL,2023-08-01,6.4,72,1,9,10,7,2,11.25
James Roach,20716601,STX,2023-08-01,10.9,126,1,18,17,46,2,11.56
Anna Arnold,66814478,DAL,2023-08-01,3.5,32,1,8,17,9,11,9.14
Jose Mendoza,69637807,HOU,2023-08-01,8.8,17,0,3,2,18,19,1.93
Charles Lloyd,98201322,OKC,2023-08-01,11.3,30,1,19,3,11,10,2.65
Sheryl Hill,34639709,DAL,2023-08-01,1.2,10,1,64,31,7,14,8.33
David Murray,6339396,DAL,2023-08-01,7.3,43,1,10,15,2,14,5.89
Patricia Jackson,39617078,SHV,2023-08-01,9.1,93,0,2,7,4,7,10.22
Jordan Riggs,45897467,DAL,2023-08-01,8.4,73,1,17,17,12,9,8.69
Gregory Stewart,4886122,HOU,2023-08-01,4.4,13,0,12,17,19,5,2.95
Mark Collier,9309564,OKC,2023-08-01,3.7,32,3,11,18,19,56,8.65
Lauren Singleton,42856486,STX,2023-08-01,6.7,66,1,4,4,4,14,9.85
Ronald Duarte,50493362,SHV,2023-08-01,9.8,72,0,17,8,57,12,7.35
John White,93384238,STX,2023-08-01,3.6,28,1,17,17,7,4,7.78
Sandra Hopkins,48756022,DAL,2023-08-01,0.7,7,1,7,9,22,16,10.0
Jill Perez,18947956,DAL,2023-08-01,5.6,17,1,8,7,9,2,3.04
John Jones,77743148,HOU,2023-08-01,3.3,18,0,3,12,5,15,5.45
Valerie Martinez,11650492,FTW,2023-08-01,5.1,61,1,14,16,8,48,11.96
Chelsea Maddox,66295315,STX,2023-08-01,1.2,11,0,17,5,17,9,9.17
Chase Hammond,23514686,FTW,2023-08-01,3.8,32,0,9,3,17,12,8.42
Dorothy Mcbride,83218580,DAL,2023-08-01,2.2,4,1,2,19,8,16,1.82
Barbara Ryan,17568007,DAL,2023-08-01,10.8,56,1,8,19,9,63,5.19
Lynn Hawkins,87449731,HOU,2023-08-01,2.2,15,0,40,41,5,2,6.82
Clarence Gonzalez,2392005,HOU,2023-08-01,8.0,60,1,18,13,4,19,7.5
Anna Smith,2526554,FTW,2023-08-01,7.6,26,0,9,12,13,9,3.42
Peggy Tate,30840273,FTW,2023-08-01,0.9,9,0,5,12,18,10,10.0
Matthew Miles,88643207,FTW,2023-08-01,0.8,4,0,14,10,10,11,5.0
Ruth Hansen,26410811,OKC,2023-08-01,9.8,95,1,10,3,51,14,9.69
Melissa Jones,92375666,FTW,2023-08-01,8.0,56,1,13,17,5,17,7.0
Jose Lloyd,56962859,FTW,2023-08-01,11.3,41,1,3,16,16,13,3.63
Travis Hernandez,31868090,DAL,2023-08-01,2.2,7,1,3,9,12,18,3.18
Elaine Flores,82308356,OKC,2023-08-01,7.1,49,1,14,12,2,2,6.9
Kiara Williams,9364733,FTW,2023-08-01,2.2,11,3,17,12,2,31,5.0
Erin Johnson,47665349,HOU,2023-08-01,0.6,1,1,9,6,10,17,1.67
Kimberly Lawson,16559716,SHV,2023-08-01,0.8,1,1,9,19,5,4,1.25
Mary Watson,6002164,HOU,2023-08-01,1.6,12,1,11,8,14,4,7.5
David Newton,67750878,STX,2023-08-01,5.2,61,1,3,14,57,16,11.73
Rachel Parsons,26264579,FTW,2023-08-01,1.9,17,0,14,7,5,19,8.95
Karen Mathis,27600905,HOU,2023-08-01,0.9,8,1,13,14,10,9,8.89
Jennifer Bowman,59486462,FTW,2023-08-01,6.2,34,0,53,32,3,10,5.48
Patrick Small,39057094,HOU,2023-08-01,3.0,18,0,17,19,66,7,6.0
Jeremy Fry,1481337,STX,2023-08-01,8.7,23,0,2,4,15,16,2.64
Denise Sanchez,58873729,SHV,2023-08-01,11.9,74,1,9,18,12,19,6.22
Miranda West,46967111,STX,2023-08-01,8.6,27,1,15,9,9,37,3.14
Jose Carroll,34218855,FTW,2023-08-01,4.0,35,1,18,4,5,15,8.75
Roberto Alexander,57320968,FTW,2023-08-01,11.8,55,0,13,5,12,16,4.66
Colin King,27389471,OKC,2023-08-01,7.3,51,0,11,8,19,62,6.99
Ethan Gallegos,3536701,HOU,2023-08-01,7.2,65,0,4,17,18,3,9.03
Brittany Webb,37390235,FTW,2023-08-01,6.6,34,1,13,10,6,14,5.15
Austin Herrera,60256606,STX,2023-08-01,4.1,37,1,4,7,10,14,9.02
Bryan Pham,7886301,STX,2023-08-01,4.8,43,1,16,6,19,5,8.96
Brian Taylor,75222115,FTW,2023-08-01,6.2,69,1,9,2,12,9,11.13
Jennifer Brown,57107385,DAL,2023-08-01,10.5,81,0,18,9,17,13,7.71
Tiffany Smith,69716341,SHV,2023-08-01,11.4,64,1,14,10,56,19,5.61
Kristy Jacobs,68190334,HOU,2023-08-01,0.6,6,2,5,7,6,43,10.0
Tony Powell,20879496,DAL,2023-08-01,4.0,37,0,17,12,15,17,9.25
Brandon Moreno,4793547,DAL,2023-08-01,6.5,21,0,44,68,10,10,3.23
Anna Nelson,14325942,SHV,2023-08-01,10.8,120,0,5,17,5,15,11.11
Jacob Carr,74843235,DAL,2023-08-01,2.4,7,1,16,4,19,2,2.92
Pamela Maldonado,81354516,STX,2023-08-01,8.5,72,0,12,10,7,4,8.47
Ryan Porter,34435132,OKC,2023-08-01,5.1,45,0,8,19,27,9,8.82
Hunter Munoz,80766757,OKC,2023-08-01,7.9,15,1,5,10,4,16,1.9
James Bartlett,92131686,OKC,2023-08-01,9.2,66,0,4,15,8,19,7.17
John Woodward,43839176,DAL,2023-08-01,1.8,9,1,8,13,17,3,5.0
Tina Brown,60561543,DAL,2023-08-01,4.3,11,0,8,11,16,5,2.56
Tina Hernandez,72195856,STX,2023-08-01,1.0,3,0,3,13,16,49,3.0
Monique Ray,64606888,HOU,2023-08-01,6.1,27,1,6,17,43,16,4.43
Dave Graham,11267032,STX,2023-08-01,7.9,87,1,16,10,8,15,11.01
Timothy Mccormick,12800401,STX,2023-08-01,8.0,61,1,12,2,12,7,7.62
Adam Farmer,43978655,DAL,2023-08-01,11.5,133,1,5,4,2,15,11.57
Chris Madden,94850672,OKC,2023-08-01,0.8,4,1,16,6,5,9,5.0
Daniel Ibarra,42835825,HOU,2023-08-01,11.6,53,1,16,11,17,19,4.57
Gary Jennings,17112032,DAL,2023-08-01,1.8,3,0,11,10,13,18,1.67
Tracy Johnson,8933606,STX,2023-08-01,4.7,22,0,54,56,16,9,4.68
Sara Davis,40994287,FTW,2023-08-01,3.1,26,1,10,10,4,6,8.39
Michael Gonzales,94497229,DAL,2023-08-01,7.6,33,1,9,12,17,22,4.34
Michael Leach,87179195,STX,2023-08-01,1.9,9,3,2,18,6,59,4.74
Mark Flowers,41639238,HOU,2023-08-01,9.0,82,1,4,16,12,14,9.11
