Name,Employee ID,Service Center,Date,Gap Time,First Pro Number,First Pro HU,Second Pro Number,Second Pro HU
David Ford,9977034,FTW,2023-08-01,27.46,3329363665,5,261875280,4
David Ford,9977034,FTW,2023-08-01,34.18,9438627645,5,5008815338,8
David Ford,9977034,FTW,2023-08-01,22.66,1895436669,1,7213512360,3
Sean Obrien,15537511,HOU,2023-08-01,34.94,6520448351,6,4192740297,3
Sean Obrien,15537511,HOU,2023-08-01,24.9,2091523543,1,248831802,7
Sean Obrien,15537511,HOU,2023-08-01,23.34,7376862223,8,4569242360,2
Natalie Hopkins,40497336,SHV,2023-08-01,29.9,4157891632,3,1103521172,6
Natalie Hopkins,40497336,SHV,2023-08-01,25.09,6618182695,3,7437166254,1
Natalie Hopkins,40497336,SHV,2023-08-01,21.97,7698126841,8,8182792618,2
Natalie Hopkins,40497336,SHV,2023-08-01,23.04,9119604444,5,2864730463,1
Natalie Hopkins,40497336,SHV,2023-08-01,21.6,3718297085,8,4638005663,4
Natalie Hopkins,40497336,SHV,2023-08-01,24.08,5144112119,7,7256862770,2
Natalie Hopkins,40497336,SHV,2023-08-01,28.76,9476586353,7,7517024823,8
Stacy Turner,73458833,DAL,2023-08-01,26.83,5135679150,4,1315291713,1
Stacy Turner,73458833,DAL,2023-08-01,32.37,9551001128,1,3770047769,5
Stacy Turner,73458833,DAL,2023-08-01,29.24,5220752108,4,471194960,1
Stacy Turner,73458833,DAL,2023-08-01,20.58,1240817688,7,7768816151,4
Stacy Turner,73458833,DAL,2023-08-01,28.98,8635838187,8,8508984507,5
Stacy Turner,73458833,DAL,2023-08-01,25.45,669978824,2,3366028751,3
Stacy Turner,73458833,DAL,2023-08-01,22.21,4036075091,6,711255241,5
Stacy Turner,73458833,DAL,2023-08-01,31.81,178223988,5,4044730709,8
James Harris,90946995,FTW,2023-08-01,25.93,792058125,3,8087061247,5
James Harris,90946995,FTW,2023-08-01,28.38,166133962,8,9722325475,6
James Harris,90946995,FTW,2023-08-01,34.5,4269178756,3,3093328500,8
James Harris,90946995,FTW,2023-08-01,22.87,8161093342,6,3493706890,2
James Harris,90946995,FTW,2023-08-01,33.48,3858215089,8,2552261130,1
James Harris,90946995,FTW,2023-08-01,29.21,854405864,2,1503503106,3
James Harris,90946995,FTW,2023-08-01,34.75,8431698704,8,8867010792,7
Sarah Cook,26413709,SHV,2023-08-01,20.03,7232412039,8,590222829,1
Sarah Cook,26413709,SHV,2023-08-01,33.33,52600964,6,4034030281,7
Sarah Cook,26413709,SHV,2023-08-01,30.97,8511829872,6,2969615891,4
Sarah Cook,26413709,SHV,2023-08-01,22.12,2793535601,6,7034283982,7
Sarah Cook,26413709,SHV,2023-08-01,28.8,6255523901,2,5044269513,1
Amy Escobar,24798974,SHV,2023-08-01,26.72,9490134309,1,5170266945,1
Amy Escobar,24798974,SHV,2023-08-01,31.71,1467593264,8,2225514813,7
Amy Escobar,24798974,SHV,2023-08-01,32.4,4764498235,7,8316670017,7
Latoya Salazar,67499931,OKC,2023-08-01,22.53,761358182,5,8923607562,2
Latoya Salazar,67499931,OKC,2023-08-01,23.85,8030785954,3,5607814243,6
Latoya Salazar,67499931,OKC,2023-08-01,30.86,8046225575,1,361670674,5
Brenda Anderson,19927556,SHV,2023-08-01,26.56,9708864797,6,5459731497,5
Brenda Anderson,19927556,SHV,2023-08-01,30.05,2354705106,5,1640647580,5
Brenda Anderson,19927556,SHV,2023-08-01,28.07,2037309817,2,4854232943,4
Brenda Anderson,19927556,SHV,2023-08-01,30.12,8042465869,7,2740039588,1
Brenda Anderson,19927556,SHV,2023-08-01,28.28,2811971643,4,3210825182,8
Brenda Anderson,19927556,SHV,2023-08-01,34.51,3680527353,8,2745527097,1
Brenda Anderson,19927556,SHV,2023-08-01,32.81,853897673,7,3740748618,6
Rachel Williams,82865659,FTW,2023-08-01,32.15,6273111239,3,3325533610,7
Rachel Williams,82865659,FTW,2023-08-01,33.2,9906719827,2,8653242409,7
Dana Stewart,60786305,STX,2023-08-01,32.21,6582923824,4,151934469,7
Dana Stewart,60786305,STX,2023-08-01,23.96,4395344219,5,6675755600,2
Dana Stewart,60786305,STX,2023-08-01,30.91,2310333447,5,2131963043,3
Dana Stewart,60786305,STX,2023-08-01,27.63,4252639397,1,7209983941,1
Sandra Harris,96132022,DAL,2023-08-01,21.17,4006351407,1,1172190753,5
Sandra Harris,96132022,DAL,2023-08-01,32.03,819851785,1,5951849311,1
Sandra Harris,96132022,DAL,2023-08-01,27.84,8016068052,4,1691167896,6
Sandra Harris,96132022,DAL,2023-08-01,21.59,1976229688,3,7406787512,7
Sandra Harris,96132022,DAL,2023-08-01,30.18,4306790386,3,3632696640,7
James Roach,20716601,STX,2023-08-01,33.78,1345336919,4,2509009564,2
James Roach,20716601,STX,2023-08-01,26.49,5258573818,2,4548004761,7
James Roach,20716601,STX,2023-08-01,21.83,2230476054,3,5086755892,2
James Roach,20716601,STX,2023-08-01,33.31,8938123035,5,2042844473,7
Anna Arnold,66814478,DAL,2023-08-01,22.12,1974686988,6,1228782118,6
Anna Arnold,66814478,DAL,2023-08-01,32.88,1609022475,7,5452637734,5
Anna Arnold,66814478,DAL,2023-08-01,25.25,8860165071,5,9886553432,7
Anna Arnold,66814478,DAL,2023-08-01,32.89,6920385830,6,6921755906,4
Anna Arnold,66814478,DAL,2023-08-01,31.79,5408637274,1,1887032657,1
Jose Mendoza,69637807,HOU,2023-08-01,25.36,7856871019,8,2440234910,6
Jose Mendoza,69637807,HOU,2023-08-01,31.53,3597450944,2,2306277609,2
Jose Mendoza,69637807,HOU,2023-08-01,23.14,9679092182,7,5439297602,3
Jose Mendoza,69637807,HOU,2023-08-01,24.3,3992604738,7,1073365612,2
Jose Mendoza,69637807,HOU,2023-08-01,32.7,8980542389,5,1979278836,6
Jose Mendoza,69637807,HOU,2023-08-01,27.2,4439668243,4,2529287710,4
Jose Mendoza,69637807,HOU,2023-08-01,22.06,6983541819,4,393067144,7
Jose Mendoza,69637807,HOU,2023-08-01,22.54,5564495226,5,184975168,5
Charles Lloyd,98201322,OKC,2023-08-01,20.25,1233154246,1,5587285677,7
Charles Lloyd,98201322,OKC,2023-08-01,31.27,5684078229,8,553603152,8
Charles Lloyd,98201322,OKC,2023-08-01,24.06,3694708931,7,4359916019,6
Charles Lloyd,98201322,OKC,2023-08-01,27.69,9541571401,8,6945277051,7
Charles Lloyd,98201322,OKC,2023-08-01,22.17,5976529521,3,213380551,2
Charles Lloyd,98201322,OKC,2023-08-01,28.8,6657354717,4,2301385190,2
Sheryl Hill,34639709,DAL,2023-08-01,31.99,1785055743,4,5479654945,7
Sheryl Hill,34639709,DAL,2023-08-01,20.93,9092938839,4,8742606840,2
Sheryl Hill,34639709,DAL,2023-08-01,23.1,3689486209,5,5867298282,8
Sheryl Hill,34639709,DAL,2023-08-01,20.58,6599287163,2,3648499528,7
Sheryl Hill,34639709,DAL,2023-08-01,23.04,9623795426,5,3452590005,7
David Murray,6339396,DAL,2023-08-01,30.36,752694737,3,8550945536,4
David Murray,6339396,DAL,2023-08-01,26.61,8153506557,7,4896536397,4
David Murray,6339396,DAL,2023-08-01,26.81,865217576,4,2790166985,8
David Murray,6339396,DAL,2023-08-01,24.6,7273700222,6,6838988980,4
David Murray,6339396,DAL,2023-08-01,25.34,5899873086,1,7732906995,2
David Murray,6339396,DAL,2023-08-01,33.51,2247241252,3,9081200145,2
David Murray,6339396,DAL,2023-08-01,22.5,5299495424,4,1093582615,3
Jordan Riggs,45897467,DAL,2023-08-01,29.73,8951135153,6,9053745610,7
Jordan Riggs,45897467,DAL,2023-08-01,28.41,1447183451,1,6225604447,2
Jordan Riggs,45897467,DAL,2023-08-01,22.6,3642459513,4,6219293538,6
Gregory Stewart,4886122,HOU,2023-08-01,21.87,8122662635,2,4980497239,4
Gregory Stewart,4886122,HOU,2023-08-01,34.08,8558110117,3,2827895973,8
Gregory Stewart,4886122,HOU,2023-08-01,22.71,307398534,7,7637919362,6
Gregory Stewart,4886122,HOU,2023-08-01,33.28,8553544138,8,3664745842,3
Gregory Stewart,4886122,HOU,2023-08-01,23.37,9640317277,5,3887981618,4
Mark Collier,9309564,OKC,2023-08-01,22.04,665880760,4,5914640316,8
Mark Collier,9309564,OKC,2023-08-01,27.82,7288717695,4,4124042886,7
Mark Collier,9309564,OKC,2023-08-01,34.37,6755104598,4,8353438548,8
Mark Collier,9309564,OKC,2023-08-01,34.56,7127455493,4,2008321332,8
Mark Collier,9309564,OKC,2023-08-01,22.63,9972330171,6,8113680934,5
Mark Collier,9309564,OKC,2023-08-01,27.51,8219181914,6,340381445,7
Lauren Singleton,42856486,STX,2023-08-01,24.29,5643433443,1,4331240561,8
Lauren Singleton,42856486,STX,2023-08-01,25.76,2301832505,2,330142960,8
Lauren Singleton,42856486,STX,2023-08-01,31.52,311175392,1,50584459,7
Ronald Duarte,50493362,SHV,2023-08-01,23.89,5073761592,7,2275950449,3
Ronald Duarte,50493362,SHV,2023-08-01,34.93,4322090469,6,7289251805,5
