Name,Employee ID,Service Center,Date,Reweigh Total,Reweigh Captured,Reweigh Percentage
Douglas Nichols,77270999,SHV,2023-08-01,31,10,0.32
David Ford,9977034,FTW,2023-08-01,15,9,0.6
Sean Obrien,15537511,HOU,2023-08-01,19,3,0.16
Natalie Hopkins,40497336,SHV,2023-08-01,10,0,0.0
Stacy Turner,73458833,DAL,2023-08-01,79,55,0.7
James Harris,90946995,FTW,2023-08-01,21,2,0.1
Sarah Cook,26413709,SHV,2023-08-01,22,18,0.82
Amy Escobar,24798974,SHV,2023-08-01,21,6,0.29
Latoya Salazar,67499931,OKC,2023-08-01,28,19,0.68
Brenda Anderson,19927556,SHV,2023-08-01,53,3,0.06
Rachel Williams,82865659,FTW,2023-08-01,19,4,0.21
Dana Stewart,60786305,STX,2023-08-01,32,25,0.78
Sandra Harris,96132022,DAL,2023-08-01,62,8,0.13
James Roach,20716601,STX,2023-08-01,77,2,0.03
Anna Arnold,66814478,DAL,2023-08-01,27,26,0.96
Jose Mendoza,69637807,HOU,2023-08-01,8,7,0.88
Charles Lloyd,98201322,OKC,2023-08-01,4,0,0.0
Sheryl Hill,34639709,DAL,2023-08-01,8,6,0.75
David Murray,6339396,DAL,2023-08-01,33,0,0.0
Patricia Jackson,39617078,SHV,2023-08-01,72,70,0.97
Jordan Riggs,45897467,DAL,2023-08-01,55,13,0.24
Gregory Stewart,4886122,HOU,2023-08-01,0,0,
Mark Collier,9309564,OKC,2023-08-01,10,7,0.7
Lauren Singleton,42856486,STX,2023-08-01,9,9,1.0
Ronald Duarte,50493362,SHV,2023-08-01,62,60,0.97
John White,93384238,STX,2023-08-01,6,4,0.67
Sandra Hopkins,48756022,DAL,2023-08-01,0,0,
Jill Perez,18947956,DAL,2023-08-01,14,0,0.0
John Jones,77743148,HOU,2023-08-01,6,0,0.0
Valerie Martinez,11650492,FTW,2023-08-01,15,15,1.0
Chelsea Maddox,66295315,STX,2023-08-01,10,7,0.7
Chase Hammond,23514686,FTW,2023-08-01,15,9,0.6
Dorothy Mcbride,83218580,DAL,2023-08-01,1,1,1.0
Barbara Ryan,17568007,DAL,2023-08-01,16,10,0.62
Lynn Hawkins,87449731,HOU,2023-08-01,5,2,0.4
Clarence Gonzalez,2392005,HOU,2023-08-01,8,6,0.75
Anna Smith,2526554,FTW,2023-08-01,8,2,0.25
Peggy Tate,30840273,FTW,2023-08-01,4,4,1.0
Matthew Miles,88643207,FTW,2023-08-01,0,0,
Ruth Hansen,26410811,OKC,2023-08-01,87,25,0.29
Melissa Jones,92375666,FTW,2023-08-01,55,3,0.05
Jose Lloyd,56962859,FTW,2023-08-01,38,15,0.39
Travis Hernandez,31868090,DAL,2023-08-01,1,1,1.0
Elaine Flores,82308356,OKC,2023-08-01,26,2,0.08
Kiara Williams,9364733,FTW,2023-08-01,10,6,0.6
Erin Johnson,47665349,HOU,2023-08-01,1,0,0.0
Kimberly Lawson,16559716,SHV,2023-08-01,0,0,
Mary Watson,6002164,HOU,2023-08-01,1,0,0.0
